ID,Source,TMC,Severity,Start_Time,End_Time,Latitude,Longitude,End_Lat,End_Lng,Distance(mi),EventSeverity,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-194507,MapQuest,241,3,12/1/2016 17:22,12/1/2016 17:52,41.818672,-71.381371,,,0.01,Right lane blocked due to accident on I-195 Eastbound at I-195 Exits 4 / US-44 / US-44 Taunton Ave.,,US-6 W,R,East Providence,Providence,RI,2914,US,US/Eastern,KPVD,12/1/2016 17:51,50.0,,50.0,29.63,10.0,WNW,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-194579,MapQuest,201,3,12/2/2016 8:07,12/2/2016 8:37,41.942822,-71.475479,,,0.01,Right hand shoulder blocked and right lane blocked due to accident on I-295 Southbound at Exits 9A 9B RI-146 Eddie Dowling Hwy.,,I-295 N,R,Lincoln,Providence,RI,2865,US,US/Eastern,KSFZ,12/2/2016 7:56,37.9,30.5,73.0,29.86,10.0,West,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194619,MapQuest,201,3,12/2/2016 11:45,12/2/2016 12:15,41.811031,-71.405548,,,0.01,Right lane blocked and right hand shoulder blocked due to accident on I-95 Northbound at Exit 19 I-195.,,Providence River Bridge,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/2/2016 11:51,48.9,,48.0,29.79,10.0,West,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194631,MapQuest,201,3,12/2/2016 12:42,12/2/2016 13:12,41.811031,-71.405548,,,0.01,Right hand shoulder blocked due to accident on I-95 Northbound near Exit 19 I-195.,,Providence River Bridge,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/2/2016 12:51,50.0,,44.0,29.78,10.0,West,17.3,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194647,MapQuest,201,3,12/2/2016 16:09,12/2/2016 16:53,41.811031,-71.405548,,,0.01,Shoulder blocked on entry ramp due to accident on I-95 Southbound for Exit 19 I-195.,,Providence River Bridge,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/2/2016 15:51,46.9,,50.0,29.78,10.0,West,8.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194655,MapQuest,201,2,12/2/2016 16:35,12/2/2016 17:20,41.808628,-71.440796,,,0.01,Left lane blocked due to accident on RI-10 Southbound at Union Ave.,,Union Ave,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/2/2016 16:51,48.0,,50.0,29.8,10.0,WSW,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-194675,MapQuest,241,3,12/2/2016 17:57,12/2/2016 18:26,41.748184,-71.443031,,,0.01,Lane blocked due to accident on I-95 Northbound at I-95 Exit 14A / RI-37.,,I-95 S,R,Warwick,Kent,RI,2888,US,US/Eastern,KPVD,12/2/2016 17:51,48.0,,46.0,29.79,10.0,West,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194681,MapQuest,241,3,12/2/2016 18:54,12/2/2016 19:23,41.697548,-71.475235,,,0.01,Lane blocked due to accident on I-95 Southbound at I-95 Exit 10A / RI-117 Centerville Rd / Commonwealth Ave.,,I-95 N,R,Warwick,Kent,RI,2886,US,US/Eastern,KPVD,12/2/2016 18:51,46.0,41.9,47.0,29.8,10.0,West,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194802,MapQuest,201,3,12/5/2016 6:17,12/5/2016 6:47,41.603451,-71.657616,,,0.01,Accident on I-95 Northbound at Exits 5A 5B RI-102 Victory Hwy.,,Victory Hwy,R,West Greenwich,Kent,RI,2817,US,US/Eastern,KOQU,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-194809,MapQuest,245,3,12/5/2016 6:25,12/5/2016 6:54,41.697548,-71.475235,,,0.01,Two lanes blocked due to accident on I-95 Southbound at Exits 10 10A 10B RI-117 Centerville Rd.,,I-95 N,R,Warwick,Kent,RI,2886,US,US/Eastern,KPVD,12/5/2016 6:24,30.0,24.1,88.0,30.07,1.0,NNE,5.8,0.03,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-194818,MapQuest,201,3,12/5/2016 6:40,12/5/2016 7:10,41.714405,-71.472084,,,0.01,Accident on I-95 Southbound at Exits 11 12 12A 12B I-295.,,I-95 S,R,Warwick,Kent,RI,2886,US,US/Eastern,KPVD,12/5/2016 6:46,30.2,25.4,86.0,30.06,1.8,NNE,4.6,0.04,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-194827,MapQuest,201,2,12/5/2016 6:47,12/5/2016 7:17,41.942822,-71.475479,,,0.01,Left lane blocked and left hand shoulder blocked due to accident on RI-146 Eddie Dowling Hwy Southbound at I-295.,,I-295 N,R,Lincoln,Providence,RI,2865,US,US/Eastern,KSFZ,12/5/2016 6:47,28.4,23.3,93.0,30.04,2.0,East,4.6,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-194846,MapQuest,201,2,12/5/2016 7:10,12/5/2016 7:40,41.964973,-71.483673,,,0.01,Accident on RI-99 both ways at RI-120 Sayles Hill Rd.,61.0,Sayles Hill Rd,L,Manville,Providence,RI,02838-1240,US,US/Eastern,KSFZ,12/5/2016 6:56,28.0,24.2,92.0,30.11,2.5,ENE,3.5,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194863,MapQuest-Bing,201,3,12/5/2016 7:48,12/5/2016 8:17,41.811031,-71.405548,,,0.01,Left lane blocked due to accident on I-95 Southbound at Exit 19 I-195.,,Providence River Bridge,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/5/2016 7:51,30.9,26.2,92.0,30.05,3.0,North,4.6,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194872,MapQuest,201,2,12/5/2016 8:14,12/5/2016 8:44,41.964428,-71.484512,,,0.01,Accident on RI-99 Northbound at RI-120 Sayles Hill Rd.,,Woonsocket Industrial Hwy S,R,Lincoln,Providence,RI,2865,US,US/Eastern,KSFZ,12/5/2016 7:56,28.9,25.2,92.0,30.1,1.2,ENE,3.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194878,MapQuest,201,2,12/5/2016 8:28,12/5/2016 8:57,41.613705,-71.492073,,,0.01,Accident on RI-4 Northbound at Exit 6 RI-2 County Trl.,,RI-4 N,R,East Greenwich,Kent,RI,2818,US,US/Eastern,KPVD,12/5/2016 8:37,32.0,26.4,92.0,30.04,3.0,North,5.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194879,MapQuest,241,2,12/5/2016 8:29,12/5/2016 8:59,41.666798,-71.490311,,,0.01,Left lane blocked due to accident on RI-4 Northbound at RI-401 Division Rd.,,I-95 N,R,East Greenwich,Kent,RI,2818,US,US/Eastern,KPVD,12/5/2016 8:37,32.0,26.4,92.0,30.04,3.0,North,5.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194897,MapQuest,201,3,12/5/2016 8:52,12/5/2016 9:22,41.81461,-71.370094,,,0.01,Left hand shoulder blocked due to accident on I-195 Westbound at Exit 6 RI-103 Warren Ave.,955.0,Broadway,R,East Providence,Providence,RI,02914-4714,US,US/Eastern,KPVD,12/5/2016 8:51,32.0,26.4,92.0,30.04,3.0,North,5.8,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194918,MapQuest,245,2,12/5/2016 9:58,12/5/2016 10:28,41.813931,-71.439766,,,0.01,Two lanes blocked due to accident on US-6 Westbound at RI-10.,,RI-10 N,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/5/2016 9:51,33.1,30.0,92.0,30.03,3.0,NNW,3.5,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194966,MapQuest,201,2,12/5/2016 14:44,12/5/2016 15:13,41.934704,-71.46624,,,0.01,Accident on RI-146 Eddie Dowling Hwy Southbound at RI-116 George Washington Hwy.,,Eddie Dowling Hwy N,R,Lincoln,Providence,RI,2865,US,US/Eastern,KSFZ,12/5/2016 14:44,39.2,32.0,87.0,29.92,10.0,West,11.5,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194975,MapQuest,222,3,12/5/2016 16:17,12/5/2016 16:46,41.819302,-71.389595,,,0.01,Queueing traffic and left lane blocked due to accident on I-195 Westbound at Exit 3 Washington Bridge.,,Gano St,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/5/2016 15:51,41.0,36.4,76.0,29.95,10.0,WNW,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-194987,MapQuest,201,3,12/5/2016 17:54,12/5/2016 18:24,41.842754,-71.410919,,,0.01,Accident on I-95 Northbound at Exit 24 Branch Ave.,,I-95 N,R,Providence,Providence,RI,2904,US,US/Eastern,KSFZ,12/5/2016 16:56,33.1,30.0,96.0,30.0,10.0,West,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-195047,MapQuest,201,3,12/6/2016 7:26,12/6/2016 7:56,41.83617,-71.415436,,,0.01,Right lane blocked due to accident on I-95 Southbound at Exit 23 RI-146 Louisquisset Pike.,,I-95 S,R,Providence,Providence,RI,2908,US,US/Eastern,KSFZ,12/6/2016 6:56,27.0,,89.0,30.17,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195056,MapQuest,201,2,12/6/2016 7:46,12/6/2016 8:16,41.800091,-71.374901,,,0.01,Accident on Veterans Memorial Pkwy near Broadway.,1698.0,S Broadway,L,East Providence,Providence,RI,02914-4964,US,US/Eastern,KPVD,12/6/2016 7:51,32.0,,88.0,30.13,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195061,MapQuest,201,2,12/6/2016 7:56,12/6/2016 8:26,41.960499,-71.493866,,,0.01,Right hand shoulder blocked due to accident on RI-146 Eddie Dowling Hwy Southbound at Sayles Hill Rd.,,Eddie Dowling Hwy,R,North Smithfield,Providence,RI,2896,US,US/Eastern,KSFZ,12/6/2016 7:56,32.0,27.5,88.0,30.17,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-195062,MapQuest,201,3,12/6/2016 7:56,12/6/2016 8:26,41.824638,-71.41935,,,0.01,Right hand shoulder blocked due to accident on I-95 Northbound at Exits 21 22A-B-C 22C-B-A Service Road 8.,,I-95 N,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/6/2016 7:51,32.0,,88.0,30.13,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195068,MapQuest,201,2,12/6/2016 8:11,12/6/2016 8:41,41.813931,-71.439766,,,0.01,Right hand shoulder blocked due to accident on RI-10 Westbound at Exit 6 US-6.,,RI-10 N,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/6/2016 7:51,32.0,,88.0,30.13,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195099,MapQuest,201,3,12/6/2016 8:51,12/6/2016 9:21,41.873112,-71.390572,,,0.01,Right hand shoulder blocked due to accident on I-95 Southbound at Exit 27 Cedar St.,,I-95 S,R,Pawtucket,Providence,RI,2860,US,US/Eastern,KSFZ,12/6/2016 8:56,39.0,36.8,82.0,30.19,10.0,North,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195168,MapQuest,201,3,12/6/2016 16:16,12/6/2016 16:46,41.781425,-71.424454,,,0.01,Right lane blocked due to accident on I-95 Northbound at Exit 16 RI-10.,,I-95 S,R,Cranston,Providence,RI,2910,US,US/Eastern,KPVD,12/6/2016 15:51,42.1,38.4,53.0,30.02,10.0,ENE,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-195191,MapQuest,241,3,12/6/2016 17:46,12/6/2016 18:16,41.855511,-71.406601,,,0.01,Right lane blocked due to accident on I-95 Southbound at I-95 Exit 25 / RI-126 Smithfield Ave.,,Smithfield Ave,R,Providence,Providence,RI,2904,US,US/Eastern,KSFZ,12/6/2016 17:56,37.9,33.5,65.0,30.08,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-195192,MapQuest,241,3,12/6/2016 17:47,12/6/2016 18:17,41.81461,-71.370094,,,0.01,Right lane blocked due to accident on I-195 Westbound at Exit 6 RI-103 Warren Ave.,955.0,Broadway,R,East Providence,Providence,RI,02914-4714,US,US/Eastern,KPVD,12/6/2016 17:51,39.9,33.9,63.0,30.03,10.0,East,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-195195,MapQuest,201,2,12/6/2016 17:54,12/6/2016 18:24,41.759796,-71.41613,,,0.0,Accident on Sherwood Ave at Pensacola St.,68.0,Sherwood Ave,L,Warwick,Kent,RI,02888-1220,US,US/Eastern,KPVD,12/6/2016 17:51,39.9,33.9,63.0,30.03,10.0,East,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-195231,MapQuest,201,2,12/7/2016 7:00,12/7/2016 7:30,41.813931,-71.439766,,,0.01,Right lane blocked and right hand shoulder blocked due to accident on US-6 Westbound at RI-10.,,RI-10 N,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/7/2016 6:59,37.9,32.1,89.0,29.96,2.5,NNW,8.1,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195232,MapQuest,246,3,12/7/2016 6:56,12/7/2016 7:25,41.817207,-71.398903,,,0.01,Three lanes blocked due to accident on I-195 Westbound at Exit 2 US-44.,,Providence River Bridge,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/7/2016 6:59,37.9,32.1,89.0,29.96,2.5,NNW,8.1,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-195244,MapQuest,201,3,12/7/2016 7:30,12/7/2016 8:00,41.748184,-71.443031,,,0.01,Left lane blocked due to accident on I-95 Northbound at Exits 14-15 14B-A RI-37.,,I-95 S,R,Warwick,Kent,RI,2888,US,US/Eastern,KPVD,12/7/2016 7:26,37.9,32.7,93.0,29.97,1.5,NNW,6.9,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195259,MapQuest,201,2,12/7/2016 8:02,12/7/2016 8:32,41.821945,-71.470184,,,0.01,Left hand shoulder blocked and left lane blocked due to accident on US-6 Eastbound at RI-128 Killingly St.,,Killingly St,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/7/2016 7:51,37.9,32.7,89.0,29.98,1.5,North,6.9,0.02,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195271,MapQuest,241,2,12/7/2016 8:26,12/7/2016 8:56,41.748184,-71.443031,,,0.01,Right lane blocked due to accident on RI-37 Eastbound at Exits 4A 4B I-95.,,I-95 S,R,Warwick,Kent,RI,2888,US,US/Eastern,KPVD,12/7/2016 8:21,37.9,31.5,93.0,29.97,1.5,North,9.2,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195275,MapQuest,241,3,12/7/2016 8:40,12/7/2016 9:10,41.75433,-71.437218,,,0.01,Right lane blocked and right hand shoulder blocked due to accident on I-95 Northbound at Exit 15 Jefferson Blvd.,,Jefferson Blvd,R,Warwick,Kent,RI,2888,US,US/Eastern,KPVD,12/7/2016 8:36,37.9,32.1,93.0,29.98,1.5,North,8.1,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195288,MapQuest,245,3,12/7/2016 9:10,12/7/2016 9:40,41.697548,-71.475235,,,0.01,Two lanes blocked due to accident on I-95 Southbound at Exits 10 10A 10B RI-117 Centerville Rd.,,I-95 N,R,Warwick,Kent,RI,2886,US,US/Eastern,KPVD,12/7/2016 8:51,37.9,31.5,93.0,29.99,1.5,North,9.2,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195323,MapQuest,229,3,12/7/2016 13:18,12/7/2016 14:02,41.826015,-71.418846,,,0.01,Slow traffic and right and center lane blocked due to accident on I-95 Northbound at Exits 21 22A-B-C 22C-B-A Service Road 8.,,I-95 N,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/7/2016 12:51,42.1,40.2,82.0,29.95,10.0,East,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195360,MapQuest,241,2,12/7/2016 17:25,12/7/2016 17:55,41.813931,-71.439766,,,0.01,Right lane blocked due to accident on US-6 Eastbound at RI-10 Exit 6 / US-6.,,RI-10 N,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/7/2016 17:51,42.1,,82.0,30.01,10.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-195392,MapQuest,201,3,12/8/2016 4:06,12/8/2016 4:36,41.53788,-71.67868,,,0.01,Accident on I-95 Northbound at Exit 4 RI-3 Nooseneck Hill Rd.,222.0,Nooseneck Hill Rd,L,Wyoming,Washington,RI,02898-1006,US,US/Eastern,KWST,12/8/2016 3:53,32.0,,88.0,29.98,7.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-195474,MapQuest,201,3,12/8/2016 11:22,12/8/2016 11:51,41.83749,-71.413765,,,0.01,Left lane blocked due to accident on I-95 Northbound at Exit 23 RI-246 Charles St.,,Charles St,R,Providence,Providence,RI,2904,US,US/Eastern,KSFZ,12/8/2016 10:56,37.9,34.4,97.0,29.94,10.0,SW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-195509,MapQuest,245,3,12/8/2016 16:32,12/8/2016 17:17,41.800594,-71.403076,,,0.01,Two lanes blocked due to accident on I-95 Northbound at Exit 18 US-1 Alt Allens Ave.,,Thurbers Ave,R,Providence,Providence,RI,2905,US,US/Eastern,KPVD,12/8/2016 16:51,39.0,33.4,62.0,29.83,10.0,West,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-195551,MapQuest,201,3,12/8/2016 21:24,12/8/2016 21:54,41.603451,-71.657616,,,0.01,Right hand shoulder closed due to accident on I-95 Northbound near Exits 5A 5B RI-102 Victory Hwy.,,Victory Hwy,R,West Greenwich,Kent,RI,2817,US,US/Eastern,KOQU,12/8/2016 21:53,35.6,27.5,56.0,29.87,10.0,WNW,11.5,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
